"","security_freedom_1","security_freedom_2","security_freedom_3","security_freedom_4","security_freedom_5","security_freedom_6","security_freedom_7","institution_trust_5","gr_1","nar1_t","nar2_t","nar3_t","nar4_t","nar5_t","nar6_t","nar7_t","nar8_t"
"104",7,7,7,7,7,7,7,6,0,5.5,6.5,4.5,5,4,6.5,6,4.5
"105",4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4.5,4
"106",5,3,7,5,7,7,7,3,0,7,6.5,3.5,7,1.5,5,3,4
"107",7,7,7,7,7,7,7,1,1,2.5,2.5,2.5,5.5,2.5,2.5,2.5,2.5
"108",4,4,4,7,7,7,7,1,1,7,4,6.5,3,7,6,4.5,7
"109",3,3,4,6,6,6,6,5,0,4.5,6,5,5,5.5,4,4.5,4.5
"110",5,7,6,7,5,5,6,3,0,2.5,1.5,1.5,5.5,6.5,4.5,6,3.5
"111",4,3,4,4,3,3,3,3,0,3.5,7,7,7,4,4,4,4
"112",6,6,6,5,4,5,6,3,0,4.5,5,3,4,4,5,4.5,5
"113",4,6,3,4,3,3,4,4,0,4,3.5,2.5,4.5,5.5,6,5,5
"114",5,4,4,4,4,4,4,2,0,5.5,2.5,3,4,5.5,6,5,4.5
"115",4,4,3,3,4,2,4,5,0,2.5,1,6,7,6,6,7,5.5
"116",6,7,6,6,5,6,6,2,0,5.5,6,3.5,4,6,3.5,6,5
"117",3,6,5,4,6,7,7,3,1,4,4.5,3.5,4,3.5,4.5,3.5,5.5
"118",5,6,5,6,5,4,5,4,0,4.5,1.5,1,3,4.5,4.5,4,7
"119",2,2,2,2,2,2,2,1,0,7,7,7,7,5,5,6,6
"120",7,7,7,7,7,7,7,1,1,7,7,6.5,6,1,2.5,2.5,4
"121",6,7,6,7,6,5,6,5,0,4.5,2,1,1.5,4.5,6.5,4.5,5.5
"122",6,6,6,6,6,6,6,3,1,5.5,4,5.5,4,5,4,5,3.5
"126",7,7,7,6,7,7,7,4,1,5,4.5,1,4,4,5.5,6.5,6
"127",6,6,6,6,6,6,6,2,1,4,2,1,4,1,3,3,1
"128",4,5,4,6,7,3,6,2,0,5.5,5.5,7,7,5.5,7,7,6.5
"129",7,7,7,7,6,6,6,2,1,4,2.5,3,2.5,4,6,6,4.5
"130",5,5,5,5,5,4,5,6,0,1.5,4.5,2,2,5,4.5,3,6
