"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"41","security_3","~~","security_3","",1.1479835188956,0.167177156845264,6.86686830042306,6.56275034316423e-12,0.822159123743107,1.47556217779533,1.1479835188956,0.510956360043419,0.510956360043419
"42","institution_trust_5","~~","institution_trust_5","",2.4145896464909,0.181826683687815,13.2796220968128,0,2.02093715387164,2.73317290947217,2.4145896464909,0.802983024474733,0.802983024474733
"43","needsecurity","~~","needsecurity","",2.65170405959441,0.211124969383093,12.5598789538854,0,2.23622635345805,3.07118139363797,0.941168384339264,0.941168384339264,0.941168384339264
"44","intMainstream","~~","intMainstream","",1.90445178550672,0.2111336886321,9.02012273761397,0,1.47187413366608,2.29807512814473,0.932916556474654,0.932916556474654,0.932916556474654
"45","intMicronarratives","~~","intMicronarratives","",1.11752208921052,0.210894428469218,5.29896449764977,1.16461274179969e-07,0.704732814486888,1.53316522316716,0.963359661226041,0.963359661226041,0.963359661226041
"46","traitneedsecurity","~~","traitneedsecurity","",1.35912834127791,0.225612163443148,6.02418025932541,1.69968861207792e-09,0.962985166482683,1.85010094013233,1,1,1
"47","gr_1","~~","gr_1","",0.25,0,NA,NA,0.25,0.25,0.25,1,0.25
"48","security_freedom_1","~1","","",4.5484904305576,0.134764243977362,33.7514632688599,0,4.28528005090451,4.81025913161173,4.5484904305576,2.50816873251252,2.50816873251252
"49","security_freedom_2","~1","","",4.72398210430914,0.125387203470432,37.6751532338235,0,4.48138128982316,4.96974086954013,4.72398210430914,2.70679725724105,2.70679725724105
"50","security_freedom_3","~1","","",4.41179485380133,0.135918655937919,32.459082407469,0,4.14838085147001,4.6836580574787,4.41179485380133,2.37221231883378,2.37221231883378
"51","Nar_5correct","~1","","",4.22193049599397,0.123013162835349,34.3209653234017,0,3.98210277206432,4.46014536664215,4.22193049599397,2.38534896773412,2.38534896773412
"52","nar_6correct","~1","","",4.65094656774424,0.114920776359793,40.4708940808325,0,4.42621146835694,4.87386954708576,4.65094656774424,2.79454346651441,2.79454346651441
"53","nar_7correct","~1","","",4.6556581309377,0.116854174923713,39.8416071482006,0,4.42237931246854,4.88550401634126,4.6556581309377,2.60983116095638,2.60983116095638
"54","nar_8correct","~1","","",4.61033921123853,0.115273022615034,39.9949537771316,0,4.38486149295269,4.83580105161595,4.61033921123853,2.62863264855753,2.62863264855753
"55","nar_1","~1","","",4.50333408311942,0.111514116258253,40.3835338002434,0,4.28575580248898,4.72446417581063,4.50333408311942,2.66603164294917,2.66603164294917
"56","nar_2","~1","","",4.10752013701232,0.136134833529581,30.1724402969926,0,3.8391990258119,4.37425456575225,4.10752013701232,2.10881082883331,2.10881082883331
"57","nar_3","~1","","",3.79302780057654,0.135495749317895,27.993703268709,0,3.53536621119797,4.05212393046965,3.79302780057654,1.982957634137,1.982957634137
"58","nar_4","~1","","",4.3117105802026,0.114282353674637,37.7285769986683,0,4.08763241807014,4.5299633222518,4.3117105802026,2.42495809367282,2.42495809367282
"59","security_1","~1","","",4.79881624112038,0.081446177484066,58.9200916403868,0,4.63616956906861,4.9585053735453,4.79881624112038,3.19538862902469,3.19538862902469
"60","security_2","~1","","",5.52958574959521,0.0759535175632279,72.8022338793208,0,5.37573941789461,5.67455610867909,5.52958574959521,3.93864911212628,3.93864911212628
"61","security_3","~1","","",4.35502946503924,0.0803810786033918,54.17978385843,0,4.19526634109075,4.51183410069331,4.35502946503924,2.90546183961977,2.90546183961977
"62","institution_trust_5","~1","","",3.53684259712541,0.131107893843227,26.9765800780432,0,3.28348909296132,3.79950111709846,3.53684259712541,2.03961053970575,2.03961053970575
"63","gr_1","~1","","",0.5,0,NA,NA,0.5,0.5,0.5,1,0.5
"64","needsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"65","intMainstream","~1","","",0,0,NA,NA,0,0,0,0,0
"66","intMicronarratives","~1","","",0,0,NA,NA,0,0,0,0,0
"67","traitneedsecurity","~1","","",0,0,NA,NA,0,0,0,0,0
"68","ind1",":=","a1*b1","ind1",-0.0414301378831658,0.0271317423401621,-1.5269987958657,0.126761310795615,-0.0969440081576807,0.00865031551734459,-0.0695416899604801,-0.0401029901380469,-0.0401029901380469
"69","ind2",":=","a2*b2","ind2",-0.070676584155135,0.0357902973225633,-1.97474146465328,0.0482974948200658,-0.145888645231155,-0.00505627159707164,-0.118632699621771,-0.0684125736041996,-0.0684125736041996
