"","lhs","op","rhs","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"24","Mainstream","~","active_soc_media",0.0738123354601376,0.0622928661752705,-0.0482794387371659,0.195904109657441,0.0516890917579667,0.0737047688003665,0.0516890917579667
"25","Mainstream","~","interaction",0.0639860724034106,0.0403488213290765,-0.0150961642202208,0.143068309027042,0.102914952506849,0.102914952506849,0.102914952506849
"26","stateneedsecurity","~","active_soc_media",0.0754032920612132,0.0624937653658931,-0.0470822373142339,0.19788882143666,0.04490973732851,0.0640379177522083,0.04490973732851
"27","institution_trust_5","~","Micronarratives",-0.498713582898531,0.124888975845596,-0.743491477621991,-0.253935688175071,-0.539659500661178,-0.311266859603622,-0.311266859603622
"28","institution_trust_5","~","Mainstream",0.585381226461319,0.0896709338734993,0.409629425609188,0.76113302731345,0.835927929667482,0.482149691062174,0.482149691062174
"29","Micronarratives","~","gr_1",-0.0441788067588276,0.131803524356786,-0.302508967533575,0.21415135401592,-0.0408268009362996,-0.0204134004681498,-0.0408268009362996
"30","Mainstream","~","gr_1",-0.0774808957723692,0.167453091654828,-0.405682924515716,0.250721132970978,-0.05425810071042,-0.02712905035521,-0.05425810071042
"31","stateneedsecurity","~","gr_1",0.819277554725015,0.183311585243414,0.459993449698978,1.17856165975105,0.487956676373957,0.243978338186979,0.487956676373957
"32","institution_trust_5","~","gr_1",-0.0534181531246358,0.178437776149792,-0.403149767859648,0.296313461610376,-0.0534181531246358,-0.0154053627783439,-0.0308107255566879
"33","institution_trust_5","~","stateneedsecurity",-0.0776986514008962,0.0673433321267271,-0.209689156968201,0.0542918541664081,-0.130455764225209,-0.0752447719308584,-0.0752447719308584
"34","stateneedsecurity","~~","traitneedsecurity",0.23107138510435,0.130750965727461,-0.0251957986653044,0.487338568874003,0.1215893182442,0.1215893182442,0.1215893182442
"35","Mainstream","~~","Micronarratives",0.758713801808891,0.148518568308693,0.4676227568884,1.04980484672938,0.524475829830735,0.524475829830735,0.524475829830735
"36","security_freedom_1","~~","security_freedom_1",0.465470067117224,0.131270895620602,0.208183839482527,0.722756294751921,0.465470067117224,0.141717205494943,0.141717205494943
"37","security_freedom_2","~~","security_freedom_2",0.82300819857763,0.189681109813782,0.451240054795031,1.19477634236023,0.82300819857763,0.270501168853594,0.270501168853594
"38","security_freedom_3","~~","security_freedom_3",0.758832296614802,0.139587404826307,0.485246010459828,1.03241858276978,0.758832296614802,0.219646995046318,0.219646995046318
"39","Nar_5correct","~~","Nar_5correct",1.08826012000018,0.159045354341289,0.776536953582847,1.39998328641752,1.08826012000018,0.347969163093785,0.347969163093785
"40","nar_6correct","~~","nar_6correct",1.01469142566536,0.142548278797296,0.735301933164489,1.29408091816624,1.01469142566536,0.366928435489153,0.366928435489153
"41","nar_7correct","~~","nar_7correct",1.76338159647644,0.205682970657574,1.36025038175438,2.16651281119849,1.76338159647644,0.554761160708141,0.554761160708141
"42","nar_8correct","~~","nar_8correct",1.42346057446684,0.163333112412431,1.10333355665564,1.74358759227804,1.42346057446684,0.463382618433185,0.463382618433185
"43","nar_1","~~","nar_1",1.68345007531255,0.183629132619521,1.32354358886596,2.04335656175914,1.68345007531255,0.589774300843227,0.589774300843227
"44","nar_2","~~","nar_2",1.81463100224422,0.25905588350116,1.30689080059874,2.3223712038897,1.81463100224422,0.478054886791414,0.478054886791414
"45","nar_3","~~","nar_3",1.54404397657638,0.191098887400153,1.16949703978641,1.91859091336636,1.54404397657638,0.421758579343166,0.421758579343166
"46","nar_4","~~","nar_4",2.09524111279643,0.209598440608077,1.68443571798885,2.50604650760402,2.09524111279643,0.662516307012193,0.662516307012193
"47","security_1","~~","security_1",0.885128984508942,0.210827069349754,0.471915521617296,1.29834244740059,0.885128984508942,0.393071889788091,0.393071889788091
"48","security_2","~~","security_2",1.21865934898546,0.128958495556514,0.965905342194226,1.4714133557767,1.21865934898546,0.618901916534753,0.618901916534753
"49","security_3","~~","security_3",1.14383064364969,0.166090539089955,0.818299168860531,1.46936211843884,1.14383064364969,0.509755629677399,0.509755629677399
"50","security_freedom_1.active_soc_media","~~","security_freedom_1.active_soc_media",1.48886694675373,0.48904006309901,0.53036603608247,2.44736785742498,1.48886694675373,0.220111314396704,0.220111314396704
"51","security_freedom_2.active_soc_media","~~","security_freedom_2.active_soc_media",1.49787470218622,0.419210548790834,0.67623712461691,2.31951227975552,1.49787470218622,0.24079784066263,0.24079784066263
"52","security_freedom_3.active_soc_media","~~","security_freedom_3.active_soc_media",1.42393317542892,0.340383987469292,0.756792819074979,2.09107353178287,1.42393317542892,0.206719636510766,0.206719636510766
"53","institution_trust_5","~~","institution_trust_5",2.41376586911098,0.179004640952503,2.06292321977855,2.76460851844341,2.41376586911098,0.80301055869682,0.80301055869682
"54","stateneedsecurity","~~","stateneedsecurity",2.64258922765454,0.212235240144383,2.22661580072134,3.05856265458774,0.937411064989678,0.937411064989678,0.937411064989678
"55","Mainstream","~~","Mainstream",1.87847151390165,0.207450734254347,1.47187554619674,2.28506748160656,0.921180046383386,0.921180046383386,0.921180046383386
"56","Micronarratives","~~","Micronarratives",1.11403900745948,0.191810388547022,0.738097554046681,1.48998046087228,0.951399977591944,0.951399977591944,0.951399977591944
"57","traitneedsecurity","~~","traitneedsecurity",1.36669570075696,0.218712672810329,0.938026739086223,1.7953646624277,1,1,1
"58","interaction","~~","interaction",5.27528759402722,0.67058147373386,3.96097205680906,6.58960313124537,1,1,1
"59","traitneedsecurity","~~","interaction",-0.276366030121608,0.215755377041677,-0.699238798594154,0.146506738350938,-0.10292613751907,-0.10292613751907,-0.10292613751907
"60","active_soc_media","~~","active_soc_media",2.03326214068134,0,2.03326214068134,2.03326214068134,2.03326214068134,1,2.03326214068134
"61","active_soc_media","~~","gr_1",-0.0236686390532544,0,-0.0236686390532544,-0.0236686390532544,-0.0236686390532544,-0.0331975929298019,-0.0236686390532544
"62","gr_1","~~","gr_1",0.25,0,0.25,0.25,0.25,1,0.25
