"","lhs","op","rhs","est","se","ci.lower","ci.upper","std.lv","std.all","std.nox"
"17","interaction","=~","security_freedom_3.active_soc_media",1.01696579193298,0.0669393818805256,0.885767014299779,1.14816456956619,2.33645223022595,0.890230883794812,0.890230883794812
"18","Micronarratives","~","stateneedsecurity",0.165459745043627,0.0409715440401886,0.0851569943338604,0.245762495753393,0.343911093765254,0.343911093765254,0.343911093765254
"19","Micronarratives","~","traitneedsecurity",0.0785769318752173,0.0544924717552154,-0.028226350193571,0.185380213944006,0.113659863753477,0.113659863753477,0.113659863753477
"20","Micronarratives","~","active_soc_media",-0.00853437113022211,0.0353415627972685,-0.0778025613702291,0.0607338191097849,-0.0105772652768275,-0.0150823984237779,-0.0150823984237779
"21","Micronarratives","~","interaction",0.0254910265034254,0.0266740282519543,-0.026789108193009,0.0777711611998598,0.0725838094343079,0.0725838094343079,0.0725838094343079
"22","Mainstream","~","stateneedsecurity",-0.205761679731162,0.0590501745353331,-0.32149789510122,-0.0900254643611054,-0.251017018297452,-0.251017018297452,-0.251017018297452
"23","Mainstream","~","traitneedsecurity",0.236289006593903,0.0940149563346802,0.0520230781698242,0.420554935017982,0.200604382030842,0.200604382030842,0.200604382030842
"24","Mainstream","~","active_soc_media",0.0606729381068118,0.0628290105694353,-0.0624696597935677,0.183815536007191,0.0441348579653842,0.0629330450536296,0.0629330450536296
"25","Mainstream","~","interaction",0.0120868141019141,0.0415053434360469,-0.0692621641987038,0.093435792402532,0.0201998949575329,0.0201998949575329,0.0201998949575329
"26","active_soc_media","~","stateneedsecurity",0.0539796881645812,0.0472851904086468,-0.0386975820384853,0.146656958367648,0.0905278767017916,0.0634870754583162,0.0634870754583162
"27","institution_trust_5","~","Micronarratives",-0.542281717444226,0.153011427454186,-0.842178604477493,-0.242384830410959,-0.437545368550253,-0.25229654467727,-0.25229654467727
"28","institution_trust_5","~","Mainstream",0.530601321909797,0.0857480528832288,0.362538226514232,0.698664417305361,0.729426640250553,0.420600546042868,0.420600546042868
"29","Micronarratives","~","gr_1",-0.0716712547289614,0.103453746597625,-0.27443687212604,0.131094362668117,-0.0888273854539496,-0.0444136927269748,-0.0888273854539496
"30","Mainstream","~","gr_1",0.133098121861003,0.173335355552479,-0.2066329322693,0.472829175991305,0.0968185633841135,0.0484092816920567,0.0968185633841135
"31","stateneedsecurity","~","gr_1",0.81011747998422,0.183729252644314,0.450014761894905,1.17022019807353,0.48305439760037,0.241527198800185,0.48305439760037
"32","institution_trust_5","~","gr_1",-0.176198613334215,0.177983444480872,-0.525039754361109,0.172642527692678,-0.176198613334215,-0.0507996478953052,-0.10159929579061
"33","institution_trust_5","~","stateneedsecurity",0.00727445893416443,0.0706649779972998,-0.131226352908859,0.145775270777187,0.0121997985511963,0.00703462370182091,0.00703462370182091
"34","stateneedsecurity","~~","traitneedsecurity",0.24173507252354,0.131309921301906,-0.0156276440409844,0.499097789088064,0.127270979122999,0.127270979122999,0.127270979122999
"35","Mainstream","~~","Micronarratives",-0.233704004961761,0.0949938387929129,-0.419888507749074,-0.0475195021744478,-0.237857083401899,-0.237857083401899,-0.237857083401899
"36","security_freedom_1","~~","security_freedom_1",0.474919042281818,0.129719826949701,0.220672853379635,0.729165231184,0.474919042281818,0.144462380913215,0.144462380913215
"37","security_freedom_2","~~","security_freedom_2",0.831588962581383,0.18960302611307,0.459973860039959,1.20320406512281,0.831588962581383,0.273110096880018,0.273110096880018
"38","security_freedom_3","~~","security_freedom_3",0.739852148612191,0.135216101599739,0.474833459346794,1.00487083787759,0.739852148612191,0.213974321831473,0.213974321831473
"39","nar5_end","~~","nar5_end",1.29977815796088,0.195179240920538,0.917233875226764,1.682322440695,1.29977815796088,0.40750188475206,0.40750188475206
"40","nar6_end","~~","nar6_end",1.4652853895205,0.178092960684148,1.11622960067947,1.81434117836154,1.4652853895205,0.560178808975147,0.560178808975147
"41","nar7_end","~~","nar7_end",2.27473382294403,0.248077011391953,1.78851181522346,2.76095583066459,2.27473382294403,0.700591514926095,0.700591514926095
"42","nar8_end","~~","nar8_end",1.80668486357343,0.179498408224367,1.4548744481714,2.15849527897545,1.80668486357343,0.754866122208246,0.754866122208246
"43","nar1_end","~~","nar1_end",2.10718771986925,0.213066525299209,1.68958500397171,2.52479043576679,2.10718771986925,0.763969116277204,0.763969116277204
"44","nar2_end","~~","nar2_end",1.43128798932319,0.304144955107677,0.835174831232591,2.02740114741379,1.43128798932319,0.374672663759528,0.374672663759528
"45","nar3_end","~~","nar3_end",2.2869409698169,0.267113590322332,1.76340795300395,2.81047398662986,2.2869409698169,0.606645535333419,0.606645535333419
"46","nar4_end","~~","nar4_end",2.07454888375842,0.19908068858579,1.68435790411284,2.464739863404,2.07454888375842,0.736387155855607,0.736387155855607
"47","security_1","~~","security_1",0.889534187378122,0.206892278801324,0.484032772248108,1.29503560250814,0.889534187378122,0.395055323763508,0.395055323763508
"48","security_2","~~","security_2",1.22331642870656,0.127377762977687,0.973660600839011,1.4729722565741,1.22331642870656,0.621292697499778,0.621292697499778
"49","security_3","~~","security_3",1.13440133300307,0.160845470333277,0.819150004073446,1.4496526619327,1.13440133300307,0.505592274515973,0.505592274515973
"50","security_freedom_1.active_soc_media","~~","security_freedom_1.active_soc_media",1.48578043159463,0.486169581518065,0.532905561440316,2.43865530174895,1.48578043159463,0.219654632835367,0.219654632835367
"51","security_freedom_2.active_soc_media","~~","security_freedom_2.active_soc_media",1.49573995978359,0.419409724943899,0.673712004127695,2.31776791543948,1.49573995978359,0.240454253723055,0.240454253723055
"52","security_freedom_3.active_soc_media","~~","security_freedom_3.active_soc_media",1.42923459880042,0.342738567594294,0.757479350202758,2.10098984739809,1.42923459880042,0.207488973537909,0.207488973537909
"53","active_soc_media","~~","active_soc_media",2.0250698919873,0.132995396548691,1.76440370464224,2.28573607933235,2.0250698919873,0.99596939124975,0.99596939124975
"54","institution_trust_5","~~","institution_trust_5",2.11106806350037,0.170889398907436,1.7761309963021,2.44600513069865,2.11106806350037,0.701905521506311,0.701905521506311
"55","stateneedsecurity","~~","stateneedsecurity",2.64850121058428,0.214604036326721,2.22788502844699,3.06911739272158,0.941664612239736,0.941664612239736,0.941664612239736
"56","Mainstream","~~","Mainstream",1.72143866546464,0.229948961160501,1.27074698330766,2.17213034762162,0.910887972107983,0.910887972107983,0.910887972107983
"57","Micronarratives","~~","Micronarratives",0.560800739711189,0.158816995491966,0.249525148414075,0.872076331008303,0.861414784138072,0.861414784138072,0.861414784138072
"58","traitneedsecurity","~~","traitneedsecurity",1.3621357278731,0.213566881573428,0.943552331698647,1.78071912404755,1,1,1
"59","interaction","~~","interaction",5.27838571603331,0.670281201248356,3.96465870207228,6.59211272999433,1,1,1
"60","traitneedsecurity","~~","interaction",-0.274407192648093,0.215567207616883,-0.696911155825052,0.148096770528865,-0.102337484376564,-0.102337484376564,-0.102337484376564
"61","gr_1","~~","gr_1",0.25,0,0.25,0.25,0.25,1,0.25
